,AppStore,2022-09-05,
4.933920704845815,AppStore,2023-05-21,
4.444,GooglePlay,2023-05-21,
4.674,GooglePlay,2023-05-22,
4.879032258064516,AppStore,2023-05-22,
4.953667953667954,AppStore,2023-05-23,
4.756,GooglePlay,2023-05-23,
4.796,GooglePlay,2023-05-24,
4.944444444445522,AppStore,2023-05-24,
4.148,GooglePlay,2023-05-25,
4.935064935064935,AppStore,2023-05-25,
4.41,GooglePlay,2023-05-26,
4.903553299491204,AppStore,2023-05-26,
4.926430517710537,AppStore,2023-05-27,
4.721,GooglePlay,2023-05-27,
4.947368421055695,AppStore,2023-05-28,
4.621,GooglePlay,2023-05-28,
4.86,GooglePlay,2023-05-29,
4.934693877551021,AppStore,2023-05-29,
4.826,GooglePlay,2023-05-30,
4.891696750902527,AppStore,2023-05-30,
4.786,GooglePlay,2023-05-31,
4.965853658535449,AppStore,2023-05-31,
4.653,GooglePlay,2023-06-01,
4.78051809468286,AppStore,2023-06-01,
4.388,GooglePlay,2023-06-02,
4.98,AppStore,2023-06-02,
4.727,GooglePlay,2023-06-03,
4.755859954344024,AppStore,2023-06-03,
4.84,GooglePlay,2023-06-04,
4.92816334536414,AppStore,2023-06-04,
4.97,AppStore,2023-06-05,
4.581,GooglePlay,2023-06-05,
4.5,GooglePlay,2023-06-06,
4.865546218485439,AppStore,2023-06-06,
4.963470319634703,AppStore,2023-06-07,
4.58,GooglePlay,2023-06-07,
4.755,GooglePlay,2023-06-08,
4.954545454546513,AppStore,2023-06-08,
4.846511627906977,AppStore,2023-06-09,
4.744,GooglePlay,2023-06-09,
4.91774891774791,AppStore,2023-06-10,
4.727,GooglePlay,2023-06-10,
4.324,GooglePlay,2023-06-11,
4.976525821597337,AppStore,2023-06-11,
4.563,GooglePlay,2023-06-12,
4.945255474451705,AppStore,2023-06-12,
4.531,GooglePlay,2023-06-13,
4.98913043478514,AppStore,2023-06-13,
4.965909090908209,AppStore,2023-06-14,
4.4,GooglePlay,2023-06-14,
4.8,AppStore,2023-06-15,
4.617,GooglePlay,2023-06-15,
4.9,AppStore,2023-06-16,
4.578,GooglePlay,2023-06-16,
4.935361216730923,AppStore,2023-06-17,
4.788,GooglePlay,2023-06-17,
4.895287958115183,AppStore,2023-06-18,
4.588,GooglePlay,2023-06-18,
4.58,GooglePlay,2023-06-19,
4.87659574467887,AppStore,2023-06-19,
4.887387387389485,AppStore,2023-06-20,
4.815,GooglePlay,2023-06-20,
4.999999999998917,AppStore,2023-06-21,
4.525,GooglePlay,2023-06-21,
4.904580152672644,AppStore,2023-06-22,
4.474,GooglePlay,2023-06-22,
4.969465648853184,AppStore,2023-06-23,
4.283,GooglePlay,2023-06-23,
4.6,GooglePlay,2023-06-24,
4.919614147909968,AppStore,2023-06-24,
4.931034482762062,AppStore,2023-06-25,
4.667,GooglePlay,2023-06-25,
4.86,GooglePlay,2023-06-26,
4.957894736839655,AppStore,2023-06-26,
4.884169884169884,AppStore,2023-06-27,
4.655,GooglePlay,2023-06-27,
4.589,GooglePlay,2023-06-28,
4.991701244814244,AppStore,2023-06-28,
4.683,GooglePlay,2023-06-29,
4.91970802919708,AppStore,2023-06-29,
4.837,GooglePlay,2023-06-30,
4.959999999995343,AppStore,2023-06-30,
4.884169884169884,AppStore,2023-07-01,
4.574,GooglePlay,2023-07-01,
4.88,GooglePlay,2023-07-02,
4.884169884169884,AppStore,2023-07-02,
4.73,AppStore,2023-07-03,
4.736,GooglePlay,2023-07-03,
4.672,GooglePlay,2023-07-04,
4.8,AppStore,2023-07-04,
4.925119128658952,AppStore,2023-07-05,
4.537,GooglePlay,2023-07-05,
4.939655172413793,AppStore,2023-07-06,
4.585,GooglePlay,2023-07-06,
4.491,GooglePlay,2023-07-07,
4.951612903226745,AppStore,2023-07-07,
4.457,GooglePlay,2023-07-08,
4.707726683475165,AppStore,2023-07-08,
4.608,GooglePlay,2023-07-09,
4.96,AppStore,2023-07-09,
4.591356,GooglePlay,2023-07-10,
